2004,689,108,18kPq7GPye-YQ3LyKyAZPw,Russel,69,4.14,232
2004,29328,1233,rpOyqD_893cqmDAtJLbdog,Jeremy,1012,3.64,5686
2004,3079,442,4U9kSBLuBDU391x6bxU-YA,Michael,93,3.59,639
2004,45567,1589,8J4IIYcqBlFch8T90N923A,Joan,777,4.35,16276
2004,102,54,ysYmC-ufbdmVEX9yAv-VEQ,George,6,4.44,44
2004,559,137,anTtulQ9G2b3SipCEwGVHg,Kevin,10,3.78,72
2010,1329,264,o2CGc1kQHEFkYOECM3NFdg,Stephanie,17,3.59,151
2004,357,287,z_5D4XEIlGAPjG3Os9ix5A,Christina,10,3.96,25
2004,827,234,Re447krbp0VQVX3Dk4Tsog,Andrew,12,3.83,70
2009,8776,863,VxgiJHpr1Z6UU5mURMZ1FA,Lien,74,3.64,2746
2008,1893,860,VIOt1BAZ_9Xig0Bf1EtIEA,Margaret,30,3.63,227
2004,29536,1830,i63u3SdbrLsP4FxiSKP0Zw,Nish,467,4.09,5995
2009,3215,469,nh3mYZ0cIXNVXlQAoOt-uQ,Kim,57,3.56,635
2011,4884,402,DZO_4yihrCGurF6WpmXT2g,Tyler,36,3.71,589
2010,72703,1321,enXVISXPVpRv3InUhexQNg,Amy,143,3.77,16476
2005,3407,628,ytjCBxosVSqCOQ62c4KAxg,Michael,76,3.82,666
2005,11100,1598,r5uiIxwJ-I-oHBkNY2Ha3Q,Kevin,143,3.59,2224
2005,2328,410,niWoSKswEbooJC_M7HMbGw,Phil,46,4.01,446
2005,226,158,to_f6i12zq8Z8emrEWgbIw,Lija,11,3.65,33
2005,1855,604,WSSw1yct-ldX44aZaMGaHw,Amme,38,3.66,223
2007,442,41,Qkym7yEvAzaeBH0gZGLyWw,John,4,3.55,123
2005,9188,308,D33jeqP1Zj0hUo0rD6JkDw,Suge,121,3.7,4797
2008,2174,553,m61SjiXAIlOY1qAXOHEk4Q,Mary,21,3.83,364
2005,82,124,Puv7uq6Wx4AtL_jVpC4d3w,Max,5,3.84,14
2009,427,409,tlJ_ilTK9kp17fKWh-SstA,lysa,13,4.11,63
2005,136,32,HKvXA96cbqAawKCU7xyGSw,Nicholas,1,3.59,14
2005,18447,468,WsPgO3ycZjRp7wFh18JdMQ,Nicole,224,4.11,4324
2005,2018,854,Bn4sJUTtKFZQt0FKHF2Adw,Judy,29,4.29,218
2005,35604,1199,uguXfIEpI65jSCH5MgUDgA,Jane,1119,3.86,13378
2005,222,110,AZl5xknQ2QzJGUfd0V_mjQ,Katie,10,4.27,33
2005,1868,717,aIw8N_ec97tsBWU6hfydYw,T-Bone,21,3.66,205
2008,14153,547,iqYfbuYFZ6lvARbhBHEkZw,Patra,149,3.96,6284
2009,3832,606,HxjVRlTCI3QAlV1aT2Koeg,Kai,37,3.51,214
2005,1050,196,AZ8CTtwr-4sGM2kZqF6qig,Jean,78,4.12,240
2005,2874,501,xaPwzbtkselbxI472WIjsA,Cassidy,23,3.92,354
2005,1085,254,xRpSYEOS4MN_fnfjBPy5dw,Stacy,31,3.67,159
2005,3926,324,S742m-AuQicMSLDdErrLZQ,Aim,47,3.76,2830
2005,697,172,Gcb3QKjGjvH_GdzLpM-fAg,Nishan,10,3.86,88
2005,55187,1196,GJYJX4SujVj3BR8v2F9PDQ,Ligaya,704,3.87,16177
2008,2573,423,gmImSCRhliREDM-lVUa_Tg,Justin,26,4.1,324
2010,3031,176,AYGHNy8gPxl2Q-etTT3hZw,Anthony,49,4.0,813
2005,96,105,sZ729BtsKvND46foxDKBrg,J,1,4.22,12
2005,9562,274,IsVIVpgV7VralvYD4DEQYg,Rosie,115,3.99,2605
2005,1707,292,-6k_vUBna1kzXBjyBOCeqg,I.,38,4.37,247
2005,3361,593,AglQinQcLwwKalAQJdV1_w,Allison,73,3.83,508
2005,12416,974,B9pKfr27czBbCoAIircZdQ,Jay,125,3.64,3321
2005,2658,503,7WGcHwBkXKRCTL2AG--3CA,Claire,60,3.89,385
2005,2108,650,ORXFUXpvHloPYVyQ4C5oqA,Caroline,32,3.86,111
2005,642,200,7iS_qbI_Lbx18bcUsUa-Yw,John Eric,11,4.51,77
2005,8779,754,Rir-YRPPClKXDFQbc3BsVw,Megan,372,4.26,2601
2005,134,105,wj-UBmM6p-TkfD4Xg_zY7A,Rose C,12,3.56,34
2005,1446,602,UDIR9Aojno4FzqYfOuwunQ,Mariangela,42,3.84,193
2005,23108,2108,mA-JeZ5IaTQfKzNAeCYUoQ,Gourmet,136,3.97,730
2005,625,358,phR0nQC82r6HPghHwsNWrQ,julia,12,4.43,85
2005,43797,2823,lxZSVeJz6KEBW1nlA3JKJg,Shiho,319,3.91,3531
2008,38333,993,fxMNuBYleHt66JfFH7UtJA,Archie,195,2.98,7959
2008,2418,324,7_noC6C5AvElqBtxlJ5qdg,John,30,4.28,475
2005,5453,1540,lLmnsl9jR4Sx5vVGlw0IdA,Dee,111,3.78,900
2005,10883,1078,l8T7Xsobadnm1Cp1MxBaSg,Andi,76,3.86,1263
2005,18314,1098,7XN48QedHYtVOqxt1caUow,Autumn,171,3.92,4662
2005,6840,3478,7FuLnS_-b79GG-33mwLaMg,Andrew,99,3.66,585
2005,13032,1378,wvxdLnO12hIh38YbArFp5Q,Kathleen,265,3.59,1646
2005,86200,1647,7uxXuCcpw9-mUS3OJVw8aQ,Jessica,1298,4.14,22969
2005,1937,1019,1ADzO1AOjVDuByLzaX3pgg,Gene,49,4.03,391
2005,708,541,Jhl5hM6VwLVicYluGdj1Qg,Dana,11,3.37,65
2005,3110,1041,aqzDiZ9SDKLi6J6mmEF82g,Rachel,107,3.86,343
2005,6408,462,s3HrDBfmZVSOqrFYjjwqEQ,Linda,59,4.03,2191
2005,2514,583,XL9D0wXPLcmNox-d9XDfTg,Jason,32,3.89,429
2005,816,404,9VZu4VFAm68DSVaAfQYkWQ,Zell,19,3.36,152
2005,7929,1087,jIJXDhJ08iCh5KxZjIuRPQ,Jill,125,3.69,1455
2005,504,214,JuJeZeQJgv7bUreY7a1SlQ,Kristina,12,4.1,103
2005,183,96,ooUmNFLAC2rdAsiX7tif6w,Ross,2,3.47,31
2005,428,112,e4M9_S-ASmRys3DvKQfotw,Brian,6,4.09,33
2005,1295,488,XA109o963exKgoVGcg9z7w,Amy,23,4.31,175
2005,1940,396,0ucrTTwY6hkK-G-VLA0BeQ,Brandon,14,4.1,754
2005,5786,687,OMWT-Z6OnJLcg44lCuDuhw,Geoff,165,3.86,902
2011,24267,1882,BRydUrmdK4pZsbUvZ8tBAw,Jason,106,3.62,4388
2005,1440,347,n0vqc-DbRK84XOLKHp5wjw,Teddy,24,3.75,280
2005,193,56,5StJwPvmlJj0yMHBj1PATw,Kevin,7,3.62,16
2005,1508,815,8w23JX96mElm3ViwtS_WKQ,Angie,39,4.26,135
2005,2594,984,4hxVql33ldY_gkf3rG8_3w,Wendy,53,3.72,294
2005,2101,576,0v3v1WqJ9M8oypfmxXowtQ,Cathleya,47,3.77,336
2005,447,239,kehBPIhFpdG0TEhQlnqa9A,Robby,5,3.6,31
2005,574,270,-TFWC_iWVYJ80yp6ExwITw,shaun,12,3.79,97
2005,943,254,9V14_mnEi28kNnN_aVhuSA,Tracie,16,4.56,224
2005,1873,330,kxkSjuIHutMTS88y1-b_Ew,Liza,66,3.9,337
2005,1031,267,0arQ82n4mvrc42U8KuoE6g,Tom,21,3.87,163
